Date,Calorie burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,MinutesOfSleep,MinutesOfBeingAwake,NumberOfAwakings,LengthOfRestInMinutes,Distance_miles,Days,Days_encoded,Work_or_Weekend,Hours Sleep,Sleep efficiency,Yesterday_sleep,Yesterday_sleep_efficiency,Months,Months_encoded
2015-09-29,2757,7553,5.61,13,789.0,163,54,15,1146,0,0,0,0,348.589.131,Tuesday,1.0,1,0.0,0.0,7.0,921.052.631.579,September,9
2015-09-30,2714,6494,4.83,11,711.0,208,26,5,1092,434,35,16,469,300.122.193,Wednesday,2.0,1,723.333.333.333,925.373.134.328,0.0,0.0,September,9
2015-10-01,2712,7951,5.91,11,667.0,191,40,9,1126,359,54,30,414,367.230.261,Thursday,3.0,1,598.333.333.333,867.149.758.454,723.333.333.333,925.373.134.328,October,10
2015-10-02,2809,7424,5.52,8,801.0,179,43,25,1206,265,20,10,285,342.996.792,Friday,4.0,1,441.666.666.667,929.824.561.404,598.333.333.333,867.149.758.454,October,10
2015-10-03,2322,6813,05.06,0,1.315,75,41,9,6670,411,38,23,450,314.413.726,Saturday,5.0,0,6.85,913.333.333.333,441.666.666.667,929.824.561.404,October,10
2015-10-04,2319,3991,2.97,1,1.136,163,0,0,6450,309,39,26,348,184.547.187,Sunday,6.0,0,5.15,887.931.034.483,6.85,913.333.333.333,October,10
2015-10-05,2859,9725,7.23,6,988.0,268,24,14,1378,477,27,16,504,449.251.233,Monday,0.0,1,7.95,946.428.571.429,5.15,887.931.034.483,October,10
2015-10-06,2978,8936,6.64,16,780.0,205,46,27,1383,403,45,27,448,412.590.344,Tuesday,1.0,1,671.666.666.667,899.553.571.429,7.95,946.428.571.429,October,10
2015-10-07,2678,6565,4.88,10,841.0,157,27,20,1009,431,39,28,470,303.229.048,Wednesday,2.0,1,718.333.333.333,917.021.276.596,671.666.666.667,899.553.571.429,October,10
2015-10-08,2767,7865,5.84,15,1.118,204,32,13,1178,0,0,0,0,362.880.664,Thursday,3.0,1,0.0,0.0,718.333.333.333,917.021.276.596,October,10
2015-10-09,2549,8718,6.48,10,976.0,65,0,0,2580,108,7,5,115,402.648.408,Friday,4.0,1,1.8,939.130.434.783,0.0,0.0,October,10
2015-10-10,2918,12364,9.22,0,1.046,234,29,32,1423,78,3,2,81,572.904.062,Saturday,5.0,0,1.3,962.962.962.963,1.8,939.130.434.783,October,10
2015-10-11,2509,5216,3.88,1,1.243,175,17,5,8780,397,66,35,463,241.091.948,Sunday,6.0,0,661.666.666.667,857.451.403.888,1.3,962.962.962.963,October,10
2015-10-12,2687,658,4.89,10,1.246,104,57,33,1059,387,17,8,404,303.850.419,Monday,0.0,1,6.45,957.920.792.079,661.666.666.667,857.451.403.888,October,10
2015-10-13,2698,7015,5.21,10,1.244,130,37,29,1036,0,0,0,0,323.734.291,Tuesday,1.0,1,0.0,0.0,6.45,957.920.792.079,October,10
2015-10-14,2621,8103,06.02,5,1.219,215,4,2,1017,407,65,33,472,374.065.342,Wednesday,2.0,1,678.333.333.333,862.288.135.593,0.0,0.0,October,10
2015-10-15,2698,6962,5.17,11,1.234,115,57,28,1075,92,7,6,99,321.248.807,Thursday,3.0,1,153.333.333.333,929.292.929.293,678.333.333.333,862.288.135.593,October,10
2015-10-16,3295,16478,12.3,12,643.0,304,8,43,1833,0,0,0,0,76.428.633,Friday,4.0,1,0.0,0.0,153.333.333.333,929.292.929.293,October,10
2015-10-17,2871,11603,8.62,3,732.0,236,38,22,1384,0,0,0,0,535.621.802,Saturday,5.0,0,0.0,0.0,0.0,0.0,October,10
2015-10-18,2899,11429,8.49,0,962.0,269,8,17,139,0,0,0,0,527.543.979,Sunday,6.0,0,0.0,0.0,0.0,0.0,October,10
2015-10-19,2581,6293,4.68,1,854.0,226,0,0,9560,0,0,0,0,290.801.628,Monday,0.0,1,0.0,0.0,0.0,0.0,October,10
2015-10-20,2672,7269,5.4,14,1.29,105,22,23,7910,0,0,0,0,33.554.034,Tuesday,1.0,1,0.0,0.0,0.0,0.0,October,10
2015-10-21,2406,4471,3.32,2,1.134,165,0,0,6860,326,29,16,355,206.295.172,Wednesday,2.0,1,543.333.333.333,918.309.859.155,0.0,0.0,October,10
2015-10-22,341,17913,13.31,7,1.053,210,39,75,1851,444,57,33,505,827.044.801,Thursday,3.0,1,7.4,879.207.920.792,543.333.333.333,918.309.859.155,October,10
2015-10-23,2511,5431,04.04,1,678.0,166,9,13,8080,142,9,6,151,251.033.884,Friday,4.0,1,236.666.666.667,940.397.350.993,7.4,879.207.920.792,October,10
2015-10-24,2907,11672,8.67,0,663.0,222,48,29,1401,347,45,29,393,538.728.657,Saturday,5.0,0,578.333.333.333,882.951.653.944,236.666.666.667,940.397.350.993,October,10
2015-10-25,3435,14777,10.98,0,597.0,302,57,39,1943,0,0,0,0,682.265.358,Sunday,6.0,0,0.0,0.0,578.333.333.333,882.951.653.944,October,10
2015-10-26,2931,9171,6.81,9,767.0,273,30,7,1414,0,0,0,0,423.153.651,Monday,0.0,1,0.0,0.0,0.0,0.0,October,10
2015-10-27,2867,8807,6.54,11,810.0,224,29,12,1275,136,21,10,157,406.376.634,Tuesday,1.0,1,226.666.666.667,866.242.038.217,0.0,0.0,October,10
2015-10-28,247,5623,4.18,2,779.0,170,19,3,8170,209,14,6,223,259.733.078,Wednesday,2.0,1,348.333.333.333,937.219.730.942,226.666.666.667,866.242.038.217,October,10
2015-10-29,3109,1291,9.59,20,1.091,258,24,20,1519,365,19,14,384,595.894.789,Thursday,3.0,1,608.333.333.333,950.520.833.333,348.333.333.333,937.219.730.942,October,10
2015-10-30,2942,8805,6.54,12,821.0,170,51,29,1264,151,16,10,167,406.376.634,Friday,4.0,1,251.666.666.667,904.191.616.766,608.333.333.333,950.520.833.333,October,10
2015-10-31,2736,7107,5.28,0,510.0,277,0,0,1162,226,24,15,250,328.083.888,Saturday,5.0,0,376.666.666.667,90.4,251.666.666.667,904.191.616.766,October,10
2015-11-01,2395,3862,2.87,0,889.0,166,0,0,6610,405,44,23,449,178.333.477,Sunday,6.0,0,6.75,902.004.454.343,376.666.666.667,90.4,November,11
2015-11-02,259,7368,5.47,13,1.279,126,22,13,7770,276,28,14,304,339.889.937,Monday,0.0,1,4.6,907.894.736.842,6.75,902.004.454.343,November,11
2015-11-03,2403,6269,4.66,9,1.43,10,0,0,370,0,0,0,0,289.558.886,Tuesday,1.0,1,0.0,0.0,4.6,907.894.736.842,November,11
2015-11-04,2917,852,6.33,14,662.0,191,43,24,1294,155,8,5,163,393.327.843,Wednesday,2.0,1,258.333.333.333,950.920.245.399,0.0,0.0,November,11
2015-11-05,2851,8116,06.03,13,827.0,228,37,8,1258,383,41,23,424,374.686.713,Thursday,3.0,1,638.333.333.333,903.301.886.792,258.333.333.333,950.920.245.399,November,11
2015-11-06,282,8268,6.14,14,776.0,145,75,22,1218,319,15,7,334,381.521.794,Friday,4.0,1,531.666.666.667,955.089.820.359,638.333.333.333,903.301.886.792,November,11
2015-11-07,369,14489,10.77,0,525.0,280,52,68,2285,0,0,0,0,669.216.567,Saturday,5.0,0,0.0,0.0,531.666.666.667,955.089.820.359,November,11
2015-11-08,3067,9212,6.84,2,508.0,198,27,53,151,0,0,0,0,425.017.764,Sunday,6.0,0,0.0,0.0,0.0,0.0,November,11
2015-11-09,2828,95,07.06,0,756.0,218,28,13,1225,345,41,21,386,438.687.926,Monday,0.0,1,5.75,89.378.238.342,0.0,0.0,November,11
2015-11-10,3336,11151,8.29,1,705.0,198,40,79,1799,383,47,28,431,515.116.559,Tuesday,1.0,1,638.333.333.333,888.631.090.487,5.75,89.378.238.342,November,11
2015-11-11,2867,12351,9.18,1,981.0,181,66,24,1353,391,23,11,414,570.418.578,Wednesday,2.0,1,651.666.666.667,944.444.444.444,638.333.333.333,888.631.090.487,November,11
2015-11-12,2847,1067,7.93,1,684.0,162,17,61,1228,231,26,15,257,492.747.203,Thursday,3.0,1,3.85,898.832.684.825,651.666.666.667,944.444.444.444,November,11
2015-11-13,246,5574,4.14,1,1.209,156,8,16,7780,526,30,17,556,257.247.594,Friday,4.0,1,876.666.666.667,946.043.165.468,3.85,898.832.684.825,November,11
2015-11-14,3445,11587,8.61,4,608.0,159,41,103,1953,369,62,37,440,535.000.431,Saturday,5.0,0,6.15,838.636.363.636,876.666.666.667,946.043.165.468,November,11
2015-11-15,2853,9499,07.06,2,738.0,167,28,44,1219,291,46,26,337,438.687.926,Sunday,6.0,0,4.85,86.350.148.368,6.15,838.636.363.636,November,11
2015-11-16,359,13788,10.53,18,978.0,282,31,61,199,143,8,5,151,654.303.663,Monday,0.0,1,238.333.333.333,94.701.986.755,4.85,86.350.148.368,November,11
2015-11-17,3792,18361,13.72,33,543.0,366,73,42,2462,503,50,31,553,852.521.012,Tuesday,1.0,1,838.333.333.333,909.584.086.799,238.333.333.333,94.701.986.755,November,11
2015-11-18,3222,14055,10.44,10,673.0,268,53,27,1771,0,0,0,0,648.711.324,Wednesday,2.0,1,0.0,0.0,838.333.333.333,909.584.086.799,November,11
2015-11-19,3092,11927,8.86,9,726.0,305,21,37,165,524,32,14,556,550.534.706,Thursday,3.0,1,873.333.333.333,942.446.043.165,0.0,0.0,November,11
2015-11-20,3395,15221,11.31,6,464.0,316,40,58,2004,269,36,21,307,702.770.601,Friday,4.0,1,448.333.333.333,876.221.498.371,873.333.333.333,942.446.043.165,November,11
2015-11-21,2802,8568,6.42,1,1.174,249,3,14,1209,0,0,0,0,398.920.182,Saturday,5.0,0,0.0,0.0,448.333.333.333,876.221.498.371,November,11
2015-11-22,2177,3284,2.44,0,1.269,98,3,8,4770,378,32,23,410,151.614.524,Sunday,6.0,0,6.3,921.951.219.512,0.0,0.0,November,11
2015-11-23,3035,9408,6.99,1,682.0,295,31,14,1552,424,31,24,462,434.338.329,Monday,0.0,1,706.666.666.667,917.748.917.749,6.3,921.951.219.512,November,11
2015-11-24,2843,10261,7.62,1,1.182,210,2,46,1262,353,33,26,386,473.484.702,Tuesday,1.0,1,588.333.333.333,914.507.772.021,706.666.666.667,917.748.917.749,November,11
2015-11-25,2829,8218,6.11,22,1.142,155,50,22,1177,444,46,25,490,379.657.681,Wednesday,2.0,1,7.4,90.612.244.898,588.333.333.333,914.507.772.021,November,11
2015-11-26,3076,976,7.25,13,1.13,214,61,30,1502,0,0,0,0,450.493.975,Thursday,3.0,1,0.0,0.0,7.4,90.612.244.898,November,11
2015-11-27,3242,10769,8.0,17,725.0,222,60,42,1711,0,0,0,0,4.970.968,Friday,4.0,1,0.0,0.0,0.0,0.0,November,11
2015-11-28,3254,11671,8.7,5,643.0,375,7,15,1776,244,32,16,276,54.059.277,Saturday,5.0,0,406.666.666.667,884.057.971.014,0.0,0.0,November,11
2015-11-29,3247,14444,10.73,14,618.0,258,39,51,1821,0,0,0,0,666.731.083,Sunday,6.0,0,0.0,0.0,406.666.666.667,884.057.971.014,November,11
2015-11-30,4012,23313,17.32,16,550.0,389,67,75,2743,69,2,1,71,1.076.214.572,Monday,0.0,1,1.15,971.830.985.915,0.0,0.0,November,11
2015-12-01,3232,1681,12.49,14,750.0,152,9,97,1618,0,0,0,0,776.092.379,Tuesday,1.0,1,0.0,0.0,1.15,971.830.985.915,December,12
2015-12-02,3125,10745,08.01,10,634.0,174,48,62,1559,325,22,17,348,497.718.171,Wednesday,2.0,1,541.666.666.667,933.908.045.977,0.0,0.0,December,12
2015-12-03,3165,10784,08.04,14,774.0,201,25,68,16,404,43,32,448,499.582.284,Thursday,3.0,1,673.333.333.333,901.785.714.286,541.666.666.667,933.908.045.977,December,12
2015-12-04,2835,1074,08.08,11,1.1,146,39,52,1271,328,33,22,362,502.067.768,Friday,4.0,1,546.666.666.667,906.077.348.066,673.333.333.333,901.785.714.286,December,12
2015-12-05,2872,8531,6.36,0,723.0,325,0,0,1354,352,37,24,397,395.191.956,Saturday,5.0,0,586.666.666.667,886.649.874.055,546.666.666.667,906.077.348.066,December,12
2015-12-06,3072,12738,9.46,10,811.0,244,45,35,1579,275,31,14,306,587.816.966,Sunday,6.0,0,458.333.333.333,898.692.810.458,586.666.666.667,886.649.874.055,December,12
2015-12-07,3107,1352,10.07,13,672.0,261,13,50,1603,398,44,33,442,625.720.597,Monday,0.0,1,663.333.333.333,900.452.488.688,458.333.333.333,898.692.810.458,December,12
2015-12-08,3801,15884,11.83,2,962.0,248,25,123,2393,271,37,21,308,735.081.893,Tuesday,1.0,1,451.666.666.667,87.987.012.987,663.333.333.333,900.452.488.688,December,12
2015-12-09,3062,10026,7.45,17,803.0,204,29,38,1449,0,0,0,0,462.921.395,Wednesday,2.0,1,0.0,0.0,451.666.666.667,87.987.012.987,December,12
2015-12-10,3044,11868,8.84,17,1.19,170,26,54,1411,268,8,4,276,549.291.964,Thursday,3.0,1,446.666.666.667,971.014.492.754,0.0,0.0,December,12
2015-12-11,3082,12381,9.22,17,1.096,212,30,52,1503,196,19,7,215,572.904.062,Friday,4.0,1,326.666.666.667,911.627.906.977,446.666.666.667,971.014.492.754,December,12
2015-12-12,2766,7157,5.32,11,605.0,290,0,0,1216,232,11,6,243,330.569.372,Saturday,5.0,0,386.666.666.667,954.732.510.288,326.666.666.667,911.627.906.977,December,12
2015-12-13,2787,7055,5.24,2,690.0,248,19,6,1182,0,0,0,0,325.598.404,Sunday,6.0,0,0.0,0.0,386.666.666.667,954.732.510.288,December,12
2015-12-14,2831,9348,6.99,18,827.0,179,22,42,1229,318,38,31,369,434.338.329,Monday,0.0,1,5.3,861.788.617.886,0.0,0.0,December,12
2015-12-15,2711,8566,6.39,15,898.0,137,28,33,1038,0,0,0,0,397.056.069,Tuesday,1.0,1,0.0,0.0,5.3,861.788.617.886,December,12
2015-12-16,2714,9786,7.27,20,1.118,159,29,28,111,0,0,0,0,451.736.717,Wednesday,2.0,1,0.0,0.0,0.0,0.0,December,12
2015-12-17,2709,8371,6.22,18,1.069,146,31,24,105,464,58,35,522,386.492.762,Thursday,3.0,1,773.333.333.333,888.888.888.889,0.0,0.0,December,12
2015-12-18,2917,9428,07.01,10,1.141,220,43,21,1331,279,21,20,303,435.581.071,Friday,4.0,1,4.65,920.792.079.208,773.333.333.333,888.888.888.889,December,12
2015-12-19,311,13742,10.21,6,579.0,357,15,22,1734,321,39,21,361,634.419.791,Saturday,5.0,0,5.35,8.891.966.759,4.65,920.792.079.208,December,12
2015-12-20,3391,15636,11.73,2,550.0,316,56,23,1973,242,12,6,254,728.868.183,Sunday,6.0,0,403.333.333.333,952.755.905.512,5.35,8.891.966.759,December,12
2015-12-21,3145,12778,9.49,15,664.0,313,42,6,1678,102,4,2,106,589.681.079,Monday,0.0,1,1.7,962.264.150.943,403.333.333.333,952.755.905.512,December,12
2015-12-22,2636,7378,5.48,12,838.0,176,33,12,1044,161,9,4,170,340.511.308,Tuesday,1.0,1,268.333.333.333,947.058.823.529,1.7,962.264.150.943,December,12
2015-12-23,1789,0,0.0,0,1.44,0,0,0,0,0,0,0,0,0.0,Wednesday,2.0,1,0.0,0.0,268.333.333.333,947.058.823.529,December,12
2015-12-24,2573,6452,4.79,0,1.217,223,0,0,9620,440,42,22,482,297.636.709,Thursday,3.0,1,733.333.333.333,912.863.070.539,0.0,0.0,December,12
2015-12-25,2808,7837,5.82,0,663.0,332,0,0,1311,339,48,28,387,361.637.922,Friday,4.0,1,5.65,875.968.992.248,733.333.333.333,912.863.070.539,December,12
2015-12-26,2626,6504,4.83,0,588.0,282,0,0,1089,388,16,10,404,300.122.193,Saturday,5.0,0,646.666.666.667,960.396.039.604,5.65,875.968.992.248,December,12
2015-12-27,2604,6444,4.84,1,746.0,252,0,0,103,419,19,11,438,300.743.564,Sunday,6.0,0,698.333.333.333,956.621.004.566,646.666.666.667,960.396.039.604,December,12
2015-12-28,2845,7845,5.83,2,686.0,337,0,0,1359,0,0,0,0,362.259.293,Monday,0.0,1,0.0,0.0,698.333.333.333,956.621.004.566,December,12
2015-12-29,3135,1226,9.11,11,636.0,375,3,26,1718,0,0,0,0,566.068.981,Tuesday,1.0,1,0.0,0.0,0.0,0.0,December,12
2015-12-30,305,12154,09.05,9,617.0,276,6,45,1567,308,49,27,357,562.340.755,Wednesday,2.0,1,513.333.333.333,862.745.098.039,0.0,0.0,December,12
2015-12-31,2856,7801,5.8,0,577.0,362,0,0,1394,488,46,27,534,36.039.518,Thursday,3.0,1,813.333.333.333,913.857.677.903,513.333.333.333,862.745.098.039,December,12
2016-01-01,2992,1046,7.92,0,685.0,375,0,0,1558,326,39,24,365,492.125.832,Friday,4.0,1,543.333.333.333,893.150.684.932,813.333.333.333,913.857.677.903,January,1
2016-01-02,3265,13837,10.33,7,601.0,339,15,36,1841,207,31,18,238,641.876.243,Saturday,5.0,0,3.45,86.974.789.916,543.333.333.333,893.150.684.932,January,1
2016-01-03,309,12517,9.3,11,1.034,272,9,49,1566,242,10,6,252,57.787.503,Sunday,6.0,0,403.333.333.333,960.317.460.317,3.45,86.974.789.916,January,1
2016-01-04,3116,10366,7.7,16,650.0,235,53,30,159,448,58,33,506,47.845.567,Monday,0.0,1,746.666.666.667,885.375.494.071,403.333.333.333,960.317.460.317,January,1
2016-01-05,3241,12127,9.13,16,682.0,284,47,28,176,541,31,13,572,567.311.723,Tuesday,1.0,1,901.666.666.667,945.804.195.804,746.666.666.667,885.375.494.071,January,1
2016-01-06,2992,11327,8.42,14,613.0,314,5,32,153,278,15,14,295,523.194.382,Wednesday,2.0,1,463.333.333.333,942.372.881.356,901.666.666.667,945.804.195.804,January,1
2016-01-07,3146,11098,8.25,15,720.0,247,53,30,163,316,39,19,355,512.631.075,Thursday,3.0,1,526.666.666.667,89.014.084.507,463.333.333.333,942.372.881.356,January,1
2016-01-08,3174,12395,9.23,2,567.0,405,7,8,1812,0,0,0,0,573.525.433,Friday,4.0,1,0.0,0.0,526.666.666.667,89.014.084.507,January,1
2016-01-09,2615,6643,4.94,0,676.0,283,0,0,1093,380,52,31,432,306.957.274,Saturday,5.0,0,633.333.333.333,87.962.962.963,0.0,0.0,January,1
2016-01-10,2711,8846,6.57,9,1.167,183,36,29,1197,297,31,19,328,408.240.747,Sunday,6.0,0,4.95,905.487.804.878,633.333.333.333,87.962.962.963,January,1
2016-01-11,3013,9642,7.16,15,758.0,247,44,24,1472,354,43,22,397,444.901.636,Monday,0.0,1,5.9,891.687.657.431,4.95,905.487.804.878,January,1
2016-01-12,2993,9982,7.42,8,839.0,222,30,26,1387,336,16,8,352,461.057.282,Tuesday,1.0,1,5.6,954.545.454.545,5.9,891.687.657.431,January,1
2016-01-13,2627,6613,4.91,11,857.0,205,13,3,102,306,17,10,323,305.093.161,Wednesday,2.0,1,5.1,947.368.421.053,5.6,954.545.454.545,January,1
2016-01-14,3128,12161,9.21,11,719.0,198,34,60,156,396,29,10,425,572.282.691,Thursday,3.0,1,6.6,931.764.705.882,5.1,947.368.421.053,January,1
2016-01-15,3361,14837,11.37,11,687.0,210,58,71,1917,0,0,0,0,706.498.827,Friday,4.0,1,0.0,0.0,6.6,931.764.705.882,January,1
2016-01-16,3379,16759,12.59,7,589.0,333,23,59,1977,327,18,11,345,782.306.089,Saturday,5.0,0,5.45,947.826.086.957,0.0,0.0,January,1
2016-01-17,2878,9602,7.26,0,547.0,279,4,15,1314,254,36,18,290,451.115.346,Sunday,6.0,0,423.333.333.333,875.862.068.966,5.45,947.826.086.957,January,1
2016-01-18,2144,3761,2.79,7,998.0,99,5,3,4670,423,13,7,436,173.362.509,Monday,0.0,1,07.05,970.183.486.239,423.333.333.333,875.862.068.966,January,1
2016-01-19,2543,7456,5.6,6,1.215,103,22,35,8810,345,29,19,374,34.796.776,Tuesday,1.0,1,5.75,922.459.893.048,07.05,970.183.486.239,January,1
2016-01-20,3472,16755,12.78,10,551.0,331,24,51,2073,391,39,22,430,794.112.138,Wednesday,2.0,1,651.666.666.667,909.302.325.581,5.75,922.459.893.048,January,1
2016-01-21,3218,11937,8.96,12,699.0,254,57,32,1729,400,41,27,441,556.748.416,Thursday,3.0,1,666.666.666.667,907.029.478.458,651.666.666.667,909.302.325.581,January,1
2016-01-22,3426,14577,10.96,5,519.0,391,34,22,211,434,31,26,466,681.022.616,Friday,4.0,1,723.333.333.333,931.330.472.103,666.666.666.667,907.029.478.458,January,1
2016-01-23,3615,17541,13.12,9,570.0,358,50,45,2286,325,11,5,336,815.238.752,Saturday,5.0,0,541.666.666.667,967.261.904.762,723.333.333.333,931.330.472.103,January,1
2016-01-24,1801,39,0.03,0,1.076,5,0,0,160,0,0,0,0,1.864.113,Sunday,6.0,0,0.0,0.0,541.666.666.667,967.261.904.762,January,1
2016-01-25,242,661,4.91,10,1.27,93,24,26,7560,468,37,24,507,305.093.161,Monday,0.0,1,7.8,923.076.923.077,0.0,0.0,January,1
2016-01-26,3066,13073,9.71,18,790.0,166,52,61,1521,336,55,30,391,603.351.241,Tuesday,1.0,1,5.6,859.335.038.363,7.8,923.076.923.077,January,1
2016-01-27,2886,9997,7.46,9,759.0,164,52,28,1291,458,63,36,521,463.542.766,Wednesday,2.0,1,763.333.333.333,879.078.694.818,5.6,859.335.038.363,January,1
2016-01-28,3092,10707,7.96,10,753.0,262,57,18,1592,339,47,28,386,494.611.316,Thursday,3.0,1,5.65,878.238.341.969,763.333.333.333,879.078.694.818,January,1
2016-01-29,2931,9952,7.39,17,760.0,233,30,26,14,342,48,31,390,459.193.169,Friday,4.0,1,5.7,876.923.076.923,5.65,878.238.341.969,January,1
2016-01-30,3034,9774,7.26,0,519.0,357,16,2,1641,0,0,0,0,451.115.346,Saturday,5.0,0,0.0,0.0,5.7,876.923.076.923,January,1
2016-01-31,2787,626,4.65,0,671.0,298,0,0,1277,357,35,22,392,288.937.515,Sunday,6.0,0,5.95,910.714.285.714,0.0,0.0,January,1
2016-02-01,2986,11426,8.52,12,911.0,192,48,43,1478,328,37,21,365,529.408.092,Monday,0.0,1,546.666.666.667,898.630.136.986,5.95,910.714.285.714,February,2
2016-02-02,2974,10466,7.78,13,802.0,152,48,48,1333,385,41,27,427,483.426.638,Tuesday,1.0,1,641.666.666.667,901.639.344.262,546.666.666.667,898.630.136.986,February,2
2016-02-03,3199,12866,9.63,11,767.0,271,45,28,1703,248,32,20,280,598.380.273,Wednesday,2.0,1,413.333.333.333,885.714.285.714,641.666.666.667,901.639.344.262,February,2
2016-02-04,2037,2449,1.87,0,821.0,80,0,0,3370,410,26,14,436,116.196.377,Thursday,3.0,1,683.333.333.333,940.366.972.477,413.333.333.333,885.714.285.714,February,2
2016-02-05,311,10434,7.75,13,718.0,243,42,29,1544,424,48,28,473,481.562.525,Friday,4.0,1,706.666.666.667,896.405.919.662,683.333.333.333,940.366.972.477,February,2
2016-02-05,311,10434,7.75,13,718.0,243,42,29,1544,401,18,14,420,481.562.525,Friday,4.0,1,668.333.333.333,954.761.904.762,706.666.666.667,896.405.919.662,February,2
2016-02-06,3177,12578,9.4,0,563.0,388,10,11,1784,350,29,19,380,58.408.874,Saturday,5.0,0,583.333.333.333,921.052.631.579,668.333.333.333,954.761.904.762,February,2
2016-02-07,3182,15373,11.7,12,599.0,273,10,62,1729,316,15,7,331,72.700.407,Sunday,6.0,0,526.666.666.667,954.682.779.456,583.333.333.333,921.052.631.579,February,2
2016-02-08,3206,12327,9.24,8,699.0,278,28,30,168,376,50,30,426,574.146.804,Monday,0.0,1,626.666.666.667,882.629.107.981,526.666.666.667,954.682.779.456,February,2
2016-02-09,2872,10457,7.82,14,847.0,181,15,41,1252,342,41,21,383,485.912.122,Tuesday,1.0,1,5.7,892.950.391.645,626.666.666.667,882.629.107.981,February,2
2016-02-10,2662,99,7.43,21,1.237,156,6,41,1098,0,0,0,0,461.678.653,Wednesday,2.0,1,0.0,0.0,5.7,892.950.391.645,February,2
2016-02-11,2899,8966,6.66,14,802.0,235,21,20,1299,333,22,15,355,413.833.086,Thursday,3.0,1,5.55,938.028.169.014,0.0,0.0,February,2
2016-02-12,2816,8353,6.21,19,732.0,219,17,26,1187,322,26,14,348,385.871.391,Friday,4.0,1,536.666.666.667,925.287.356.322,5.55,938.028.169.014,February,2
2016-02-13,3235,13907,10.36,0,551.0,357,15,15,1813,448,55,29,503,643.740.356,Saturday,5.0,0,746.666.666.667,890.656.063.618,536.666.666.667,925.287.356.322,February,2
2016-02-14,3289,14183,10.54,13,617.0,374,45,12,1941,264,28,20,293,654.925.034,Sunday,6.0,0,4.4,901.023.890.785,746.666.666.667,890.656.063.618,February,2
2016-02-15,2751,8453,6.28,11,1.304,124,8,4,5890,0,0,0,0,390.220.988,Monday,0.0,1,0.0,0.0,4.4,901.023.890.785,February,2
2016-02-16,2927,7995,5.98,15,802.0,231,34,16,1347,305,27,16,334,371.579.858,Tuesday,1.0,1,508.333.333.333,913.173.652.695,0.0,0.0,February,2
2016-02-17,2783,6707,4.98,10,913.0,174,36,19,1131,309,12,7,321,309.442.758,Wednesday,2.0,1,5.15,96.261.682.243,508.333.333.333,913.173.652.695,February,2
2016-02-18,2804,8109,6.1,13,1.212,143,42,33,1146,0,0,0,0,37.903.631,Thursday,3.0,1,0.0,0.0,5.15,96.261.682.243,February,2
2016-02-19,2815,11971,9.23,11,865.0,179,3,51,1234,317,17,9,334,573.525.433,Friday,4.0,1,528.333.333.333,949.101.796.407,0.0,0.0,February,2
2016-02-20,296,11371,8.45,0,457.0,327,14,19,1533,383,35,31,419,525.058.495,Saturday,5.0,0,638.333.333.333,914.081.145.585,528.333.333.333,949.101.796.407,February,2
2016-02-21,2038,219,1.63,0,954.0,93,0,0,3510,347,45,32,393,101.283.473,Sunday,6.0,0,578.333.333.333,882.951.653.944,638.333.333.333,914.081.145.585,February,2
2016-02-22,2594,6592,4.93,10,1.234,155,23,14,9580,0,0,0,0,306.335.903,Monday,0.0,1,0.0,0.0,578.333.333.333,882.951.653.944,February,2
2016-02-23,2841,8624,6.41,10,739.0,193,36,25,122,243,23,9,266,398.298.811,Tuesday,1.0,1,04.05,913.533.834.586,0.0,0.0,February,2
2016-02-24,2933,8307,6.17,12,762.0,195,25,37,1305,437,22,9,459,383.385.907,Wednesday,2.0,1,728.333.333.333,952.069.716.776,04.05,913.533.834.586,February,2
2016-02-25,2816,7941,5.9,9,878.0,142,47,32,1184,382,35,21,417,36.660.889,Thursday,3.0,1,636.666.666.667,916.067.146.283,728.333.333.333,952.069.716.776,February,2
2016-02-26,2764,805,5.98,9,1.203,177,40,20,115,0,0,0,0,371.579.858,Friday,4.0,1,0.0,0.0,636.666.666.667,916.067.146.283,February,2
2016-02-27,3029,9923,7.37,5,1.124,184,25,44,1306,0,0,0,0,457.950.427,Saturday,5.0,0,0.0,0.0,0.0,0.0,February,2
2016-02-28,2844,9504,7.15,2,687.0,283,10,1,1322,262,33,16,295,444.280.265,Sunday,6.0,0,436.666.666.667,88.813.559.322,0.0,0.0,February,2
2016-02-29,2612,6847,05.09,10,731.0,206,20,1,1023,166,14,7,180,316.277.839,Monday,0.0,1,276.666.666.667,922.222.222.222,436.666.666.667,88.813.559.322,February,2
2016-03-01,3117,11618,8.66,12,776.0,217,59,29,1584,420,31,26,451,538.107.286,Tuesday,1.0,1,7.0,931.263.858.093,276.666.666.667,922.222.222.222,March,3
2016-03-02,2897,1045,7.76,19,765.0,199,35,26,1292,327,34,22,361,482.183.896,Wednesday,2.0,1,5.45,905.817.174.515,7.0,931.263.858.093,March,3
2016-03-03,2864,11478,8.69,17,749.0,167,5,45,1219,420,45,28,465,539.971.399,Thursday,3.0,1,7.0,903.225.806.452,5.45,905.817.174.515,March,3
